intersection,mean_volume,std_volume,peak_morning,peak_evening,weekend_ratio,rain_effect,wind_corr,cluster
2공단3,1323.4809360730594,1046.714458778647,1997.5433789954338,1555.0913242009133,0.7577511674147156,0.9651343582013341,0.2981406233561356,0
계룡APT3,1621.9536529680365,1096.0328346182791,2306.095890410959,2450.4283105022832,0.8772869280019583,0.9997307111365866,0.38414827641435145,0
고재4,2305.680707762557,1472.8774914430583,3252.9534246575345,3339.537899543379,0.9007972930426129,0.9347876426331581,0.377311924564073,1
공구단지4,1803.6517123287672,1216.8906378825018,2642.9132420091323,2744.3488584474885,0.8733905795494652,0.9730503760308341,0.35921875039754125,0
공단4,1620.7724885844748,1242.2778529410984,2453.2694063926942,1965.925114155251,0.7370634713357901,1.0011514258113485,0.29028958217003453,0
구상골4,1978.1126712328767,1177.8016104634937,2493.867579908676,2943.082191780822,0.9049866659170787,0.9289644818384257,0.35058897829169483,0
구성3,2676.586073059361,1750.3033657789738,3714.538812785388,3942.9598173515983,0.8937592541444245,0.9395879980251005,0.3849426351125211,1
굴울(변전소)4,1981.2824200913242,1255.4455612150794,2661.655707762557,2882.248401826484,0.9118964458431059,0.9507972897328603,0.39088960783813975,1
남부5,2025.8391552511416,1389.4569464533492,2878.984474885845,3040.122374429224,0.8624543066033007,0.9463260677636939,0.3880915201255458,1
도로원점3,2436.7022831050226,1527.6049288136337,3401.075799086758,3544.737899543379,0.8978073630021199,0.9387312900646225,0.3765631772015014,1
동부4,1865.787214611872,1161.099081568743,2685.972602739726,2746.3698630136987,0.8854210598851862,0.9388682488827709,0.3375397627746175,0
두정역사거리,1985.6605037513398,1181.622831125219,2688.096463022508,3153.090032154341,0.8854112025502295,0.928994948613113,0.3710974848295751,1
두정중4,1073.8843607305937,591.0329113134661,1264.096803652968,1623.8858447488585,0.8681929820261077,0.9218504703679768,0.3661117477743395,0
로데오4,1479.3175799086757,914.5745785449087,1994.545205479452,2160.3698630136987,0.8558460836476353,0.9606220388681265,0.37804950740098886,0
모란APT4,1677.7615296803654,1035.8446361079516,2114.1698630136984,2580.5260273972603,0.8686829860032412,0.9805343862421195,0.39156376577689306,0
방아다리(이마트)4,2483.849086757991,1526.2781656656286,3271.574429223744,3650.2511415525114,0.9080727262321316,0.9620416316035968,0.38869385330397366,1
방죽안5,1685.790182648402,1081.534192760568,2118.6684931506848,2448.1461187214613,0.95390262797633,0.9844456494544015,0.332557542823186,0
백석대삼거리,1582.0200964630226,1038.1446455592043,2555.7341907824225,2228.8210075026795,0.6731945456691952,0.9377263294059685,0.32596637510156934,0
백석사거리,2331.2335209003218,1352.543733581005,3156.9292604501607,3517.235798499464,0.8669274669329526,0.9502797501230652,0.36565820727195986,1
백석충전소사거리,2575.763531618435,1484.4773254825448,3393.4255091103964,3888.394426580922,0.8557005803073392,0.9545984966928197,0.3627094766892846,1
번영로(갤러리아)4,2267.2602739726026,1494.3845015726067,3073.5278538812786,3287.875799086758,0.8863520583306592,1.0344503667938036,0.35463922963107,1
봉서4,1735.4865296803653,1028.69925706244,2252.7132420091325,2600.7388127853883,0.8718295656967224,0.9678623051912303,0.3747365600616587,0
봉정사거리,1156.1814040728832,646.7398053088962,1398.368703108253,1712.5251875669883,0.9631901097732856,0.921539249597869,0.38941104449854574,0
부성에너지주유소3,1571.6780821917807,1167.415647588111,2289.1479452054796,1855.4593607305935,0.8306805818418043,0.9385559905870828,0.3121402890467524,0
부성초교4,1672.3697488584476,899.2344224768951,1818.752511415525,2639.7963470319633,0.9037407605557896,0.9751538857225426,0.3855429405207236,0
북부사거리,1421.1058413719186,973.7923507231171,2034.706323687031,2130.3783494105037,0.8684793229056108,0.9203938125657066,0.32819880639580806,0
북부지하차도4,1872.0534246575342,1159.7627187328742,2527.7497716894977,2885.9835616438354,0.8485506378667945,0.9647008606260478,0.3296939162289074,0
불당4,3356.5228310502284,2113.5007508496824,4237.625570776256,4249.323287671233,0.940749552496894,0.9925353636919373,0.33492227297758836,1
불당현대4,3260.1345890410958,2119.3354876102862,4134.37899543379,4251.691324200913,0.9405597007312331,0.9989997697752712,0.3153070497426038,1
